IndicatorCode,IndicatorName,Category,Engine,FunctionName,RequiredInputs,ParameterSchema,Description,IsActive,CreatedAt,UpdatedAt
CMF,Chaikin Money Flow,VOLUME,PANDAS_TA_CLASSIC,cmf,"[""High"", ""Low"", ""Close"", ""Volume""]",,Đo dòng tiền mua/bán trong n kỳ dựa trên vị trí close trong range và volume.,false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
ADX,Average Directional Index,TREND,PANDAS_TA_CLASSIC,adx,"[""High"", ""Low"", ""Close""]",,"Đo độ mạnh xu hướng, không đo hướng; dùng cùng +DI/-DI.",false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
AD,Accumulation/Distribution Line,VOLUME,PANDAS_TA_CLASSIC,ad,"[""High"", ""Low"", ""Close"", ""Volume""]",,Đường dòng tiền tích lũy dựa trên close trong range và volume; dùng xác nhận xu hướng/phân kỳ.,false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
CCI,Commodity Channel Index,MOMENTUM,PANDAS_TA_CLASSIC,cci,"[""High"", ""Low"", ""Close""]",,"Đo độ lệch của typical price so với trung bình; dùng nhận diện chu kỳ, quá mua/quá bán tương đối.",false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
RVI,Relative Vigor Index,MOMENTUM,PANDAS_TA_CLASSIC,rvi,"[""Close"", ""High"", ""Low""]",,Giả định giá mạnh khi close gần high/open-close tích cực; so sánh sức đóng cửa với range.,false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
ROC,Rate of Change,MOMENTUM,PANDAS_TA_CLASSIC,roc,"[""Close""]",,Đo tỷ lệ thay đổi giá so với n kỳ trước.,false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
MA,Moving Average,TREND,PANDAS_TA_CLASSIC,sma,"[""Close""]",,Làm mượt giá để xác định hướng xu hướng và hỗ trợ/kháng cự động.,true,2026-08-25 21:07:23.617482,2026-08-25 21:29:32.478844
TSI,True Strength Index,MOMENTUM,PANDAS_TA_CLASSIC,tsi,"[""Close""]",,"Momentum được làm mượt kép, lọc nhiễu hơn ROC.",false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
EMV,Ease of Movement,VOLUME,PANDAS_TA_CLASSIC,emv,"[""High"", ""Low"", ""Volume""]",,Đo giá di chuyển dễ hay khó dựa trên khoảng dịch chuyển và volume.,false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
AO,Bill Williams Awesome Oscillator,MOMENTUM,PANDAS_TA_CLASSIC,ao,"[""High"", ""Low""]",,Đo momentum bằng chênh lệch SMA nhanh/chậm của median price.,false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
NVI,Negative Volume Index,VOLUME,PANDAS_TA_CLASSIC,nvi,"[""Close"", ""Volume""]",,Chỉ cập nhật vào ngày volume giảm; giả định dòng tiền thông minh hoạt động khi volume thấp.,false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
PVI,Positive Volume Index,VOLUME,PANDAS_TA_CLASSIC,pvi,"[""Close"", ""Volume""]",,Chỉ cập nhật vào ngày volume tăng; phản ánh hoạt động đám đông khi volume cao.,false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
STC,Schaff Trend Cycle,CYCLE,PANDAS_TA_CLASSIC,stc,"[""Close""]",,Kết hợp MACD và stochastic/cycle để phản ứng nhanh với xu hướng theo chu kỳ.,false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
VFI,Volume Flow Indicator,VOLUME,PANDAS_TA_CLASSIC,vfi,"[""High"", ""Low"", ""Close"", ""Volume""]",,"Biến thể nâng cao của OBV dùng typical price, volume cap và ngưỡng volatility để lọc nhiễu dòng tiền.",false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
PVT,Price and Volume Trend,VOLUME,PANDAS_TA_CLASSIC,pvt,"[""Close"", ""Volume""]",,"OBV có trọng số theo phần trăm thay đổi giá, phản ánh dòng tiền tỷ lệ với biến động giá.",false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
DMI,Directional Movement Index,TREND,PANDAS_TA_CLASSIC,dm,"[""High"", ""Low""]",,"Bộ +DI/-DI/ADX của Wilder, đo hướng và sức mạnh xu hướng.",false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
PGO,Pretty Good Oscillator,MEAN_REVERSION,PANDAS_TA_CLASSIC,pgo,"[""High"", ""Low"", ""Close""]",,Đo khoảng cách giá với SMA chuẩn hóa bằng ATR; tìm mức giá xa trung bình theo biến động.,false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
SMI,Stochastic Momentum Index,MOMENTUM,PANDAS_TA_CLASSIC,smi,"[""Close""]",,"Biến thể stochastic đo close so với midpoint của range, mượt hơn %K truyền thống.",false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
JMA,Jurik Moving Average,TREND,PANDAS_TA_CLASSIC,jma,"[""Close""]",,Đường trung bình độc quyền nổi tiếng vì rất mượt và ít trễ.,false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
BOP,Balance of Power,PRICE,PANDAS_TA_CLASSIC,bop,"[""Open"", ""High"", ""Low"", ""Close""]",,Đo sức mạnh bên mua/bán qua vị trí close so với open trong range.,false,2026-08-25 21:07:23.617482,2026-08-25 21:34:52.041112
STOCHASTIC_OSCILLATOR,Stochastic Oscillator,MOMENTUM,PANDAS_TA_CLASSIC,stoch,"[""High"", ""Low"", ""Close""]",,So sánh close với range high-low n kỳ; dùng quá mua/quá bán và phân kỳ.,false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
ICHIMOKU_CLOUD,Ichimoku Cloud,TREND,PANDAS_TA_CLASSIC,ichimoku,"[""High"", ""Low"", ""Close""]",,"Hệ thống một cái nhìn: xu hướng, momentum, hỗ trợ/kháng cự qua mây Kumo và các đường cân bằng.",false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
STANDARD_DEVIATION,Standard Deviation,VOLATILITY,PANDAS_TA_CLASSIC,stdev,"[""Close""]",,Đo mức phân tán giá quanh trung bình; thành phần chính của nhiều dải biến động.,false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
AROON_OSCILLATOR,Aroon Oscillator,TREND,PANDAS_TA_CLASSIC,aroon,"[""High"", ""Low""]",,Đo thời gian kể từ high/low gần nhất để nhận diện xu hướng mới.,false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
VROC,Volume Rate of Change,VOLUME,PANDAS_TA_CLASSIC,roc,"[""Close""]",,Đo tốc độ thay đổi volume so với n kỳ trước.,false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
CHOPPINESS_INDEX,Choppiness Index,MARKET_BREADTH,PANDAS_TA_CLASSIC,chop,"[""High"", ""Low"", ""Close""]",,"Đo thị trường đang sideway/choppy hay trending, không đo hướng.",false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
ULTIMATE_OSCILLATOR,Ultimate Oscillator,MOMENTUM,PANDAS_TA_CLASSIC,uo,"[""High"", ""Low"", ""Close""]",,Kết hợp buying pressure ở 3 khung thời gian để giảm tín hiệu giả.,false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
RAINBOW_OSCILLATOR,Rainbow Oscillator,TREND,PANDAS_TA_CLASSIC,rainbow,"[""Close""]",,Đo khoảng cách giữa giá/MA nhanh với tập hợp nhiều MA tạo dạng rainbow; phản ánh trend và độ mở ribbon.,false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
FISHER_TRANSFORM,Fisher Transform,MOMENTUM,PANDAS_TA_CLASSIC,fisher,"[""High"", ""Low""]",,Biến đổi giá chuẩn hóa thành phân phối gần Gaussian để làm nổi bật điểm đảo chiều.,false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
KST_OSCILLATOR,Know Sure Thing,MOMENTUM,PANDAS_TA_CLASSIC,kst,"[""Close""]",,Oscillator momentum dùng nhiều ROC được làm mượt và gán trọng số.,false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
LINEAR_REGRESSION_INDICATOR,Linear Regression Indicator,TREND,PANDAS_TA_CLASSIC,linreg,"[""Close""]",,Đường hồi quy tuyến tính của giá trong n kỳ; đo xu hướng tốt hơn MA khi có slope rõ.,false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
VOLUME_OSCILLATOR,Volume Oscillator,VOLUME,PANDAS_TA_CLASSIC,vosc,"[""Volume""]",,Đo chênh lệch giữa MA volume nhanh và chậm.,false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
WEIGHTED_CLOSE,Weighted Close,PRICE,PANDAS_TA_CLASSIC,wcp,"[""High"", ""Low"", ""Close""]",,"Giá đóng cửa có trọng số, nhấn mạnh close nhưng vẫn tính high/low.",false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
ERGODIC_OSCILLATOR,Ergodic Oscillator,MOMENTUM,PANDAS_TA_CLASSIC,tsi,"[""Close""]",,"Oscillator dựa trên True Strength Index, thường dùng signal/histogram để bắt momentum.",false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
ELDER_FORCE_INDEX,Elder Force Index,MOMENTUM,PANDAS_TA_CLASSIC,efi,"[""Close"", ""Volume""]",,Đo lực thị trường bằng thay đổi giá nhân volume.,false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
ATRP,Average True Range Percentage,VOLATILITY,PANDAS_TA_CLASSIC,natr,"[""High"", ""Low"", ""Close""]",,ATR chuẩn hóa theo giá để so sánh biến động giữa tài sản khác giá.,false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
ICHIMOKU_KINKO_HYO,Ichimoku Kinko Hyo,TREND,PANDAS_TA_CLASSIC,ichimoku,"[""High"", ""Low"", ""Close""]",,"Tên đầy đủ của hệ Ichimoku; cung cấp xu hướng, momentum và hỗ trợ/kháng cự qua mây.",false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
ACCUMULATION_DISTRIBUTION_LINE,Accumulation/Distribution Line,VOLUME,PANDAS_TA_CLASSIC,ad,"[""High"", ""Low"", ""Close"", ""Volume"", ""Open""]",,"Đo áp lực tích lũy/phân phối bằng vị trí close trong range nhân volume, cộng dồn theo thời gian.",false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
KAUFMAN_ER,Efficiency Ratio,TREND,PANDAS_TA_CLASSIC,er,"[""Close""]",,Đo độ hiệu quả của chuyển động giá: giá đi thẳng có hướng hay nhiễu.,false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
STANDARD_ERROR_BANDS,Standard Error Bands,VOLATILITY,PANDAS_TA_CLASSIC,stderr,"[""Close""]",,Dải quanh đường hồi quy tuyến tính dựa trên sai số chuẩn; phản ánh hướng trend và độ bất định.,false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
CHANDE_KROLL_STOP,Chande Kroll Stop,VOLATILITY,PANDAS_TA_CLASSIC,cksp,"[""High"", ""Low"", ""Close""]",,"Stop hai bước của Chande/Kroll, dùng ATR và high/low để xác định vùng stop linh hoạt, phân biệt trend/sideway.",false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
MASS_INDEX,Mass Index,VOLATILITY,PANDAS_TA_CLASSIC,massi,"[""High"", ""Low""]",,"Đo sự giãn nở của range high-low để phát hiện khả năng đảo chiều, không chỉ hướng.",false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
SUPERTREND_INDICATOR,Supertrend Indicator,TREND,PANDAS_TA_CLASSIC,supertrend,"[""High"", ""Low"", ""Close""]",,"Chỉ báo xu hướng dựa trên ATR, đổi màu/hướng khi giá vượt dải stop.",false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
QSTICK_INDICATOR,Qstick Indicator,MOMENTUM,PANDAS_TA_CLASSIC,qstick,"[""Open"", ""Close""]",,Trung bình chênh lệch close-open để đo áp lực thân nến bullish/bearish.,false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
KLINGER_OSCILLATOR,Klinger Oscillator,TREND,PANDAS_TA_CLASSIC,kvo,"[""High"", ""Low"", ""Close"", ""Volume""]",,Đo dòng tiền dài hạn bằng force volume và EMA nhanh/chậm.,false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
VORTEX_INDICATOR,Vortex Indicator,TREND,PANDAS_TA_CLASSIC,vortex,"[""High"", ""Low"", ""Close""]",,Đo chuyển động xoáy lên/xuống qua khoảng cách high-low liên kỳ so với true range.,false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
GAUSSIAN_FILTER,Gaussian Filter,TREND,PANDAS_TA_CLASSIC,ssf,"[""Close""]",,Bộ lọc làm mượt kiểu Gaussian để giảm nhiễu nhưng giữ cấu trúc trend.,false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
KELTNER_CHANNELS,Keltner Channels,VOLATILITY,PANDAS_TA_CLASSIC,kc,"[""High"", ""Low"", ""Close""]",,"Kênh quanh EMA dựa trên ATR, dùng trend-following và pullback.",false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
ZERO_LAG_HULL_MOVING_AVERAGE,Zero Lag Hull Moving Average,TREND,PANDAS_TA_CLASSIC,hma,"[""Close""]",,"Hull Moving Average giảm trễ thêm bằng kỹ thuật zero-lag, phản ứng nhanh với trend.",false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
LINEAR_REGRESSION_SLOPE,Linear Regression Slope,TREND,PANDAS_TA_CLASSIC,linregslope,"[""Close""]",,"Độ dốc của đường hồi quy tuyến tính, đo hướng và tốc độ xu hướng.",false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
STOCHASTIC_RSI,Stochastic RSI,MOMENTUM,PANDAS_TA_CLASSIC,stochrsi,"[""Close""]",,"Áp stochastic lên RSI, nhạy hơn RSI; dao động 0-1 hoặc 0-100.",false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
CENTER_OF_GRAVITY_OSCILLATOR,Center of Gravity Oscillator,CYCLE,PANDAS_TA_CLASSIC,cg,"[""Close""]",,Oscillator của Ehlers giúp tìm điểm đảo chiều bằng trọng tâm của giá trong cửa sổ.,false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
LAGUERRE_RSI,Laguerre RSI,MOMENTUM,PANDAS_TA_CLASSIC,lrsi,"[""Close""]",,RSI dùng bộ lọc Laguerre để mượt và ít trễ hơn RSI thường.,false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
ACCELERATION_BANDS,Acceleration Bands,VOLATILITY,PANDAS_TA_CLASSIC,accbands,"[""High"", ""Low"", ""Close""]",,Dải tăng tốc quanh giá để phát hiện breakout khi giá vượt khỏi vùng biến động bình thường.,false,2026-08-25 21:09:03.657834,2026-08-25 21:34:52.041112
